benchmark	family	bucket	category	n	mean_projection	sd_projection
livebench_reasoning	qwen25	p02	trace_damage	4	-6.4701877269402495	4.282185339268843
livebench_reasoning	qwen25	p02	persistent_fail	15	-20.403872502956833	14.950033251154949
livebench_reasoning	qwen25	p03	preserve	5	11.09842497694139	9.933884328161033
livebench_reasoning	qwen25	p03	trace_damage	4	-15.691423458393881	6.430038012829099
livebench_reasoning	qwen25	p03	persistent_fail	18	-18.172117181631666	21.542156158433766
livebench_reasoning	qwen25	p04-05	preserve	9	11.186291094683716	20.28145242388409
livebench_reasoning	qwen25	p04-05	trace_rescue	4	-13.419528383828853	6.0714931031209
livebench_reasoning	qwen25	p04-05	trace_damage	5	-2.124663553167159	5.102665939365055
livebench_reasoning	qwen25	p04-05	persistent_fail	21	-17.749762874127136	24.222787135450833
livebench_reasoning	qwen25	p06-10	preserve	2	-14.430148706028625	8.472358799895783
livebench_reasoning	qwen25	p06-10	trace_damage	2	-5.102642538169638	1.0238024781636919
livebench_reasoning	qwen25	p06-10	persistent_fail	14	-29.640936474319865	18.596219308509568
livebench_reasoning	qwen3	p01	preserve	6	39.765409470312726	4.400352712879768
livebench_reasoning	qwen3	p01	trace_rescue	2	44.866621398627025	0.22707821219165272
livebench_reasoning	qwen3	p01	trace_damage	6	17.21427371168828	14.680616977601536
livebench_reasoning	qwen3	p01	persistent_fail	13	6.184099849066338	4.613677051497867
livebench_reasoning	qwen3	p02	preserve	6	45.09587843462044	2.255677835691686
livebench_reasoning	qwen3	p02	trace_rescue	3	33.17949936687045	22.951720558375996
livebench_reasoning	qwen3	p02	trace_damage	6	16.001053673462927	12.228850386662257
livebench_reasoning	qwen3	p02	persistent_fail	12	6.044368455540283	5.3688512176726
livebench_reasoning	qwen3	p03	preserve	7	44.439195901313	3.5475931048278215
livebench_reasoning	qwen3	p03	trace_rescue	2	34.38030430214465	25.592877681794217
livebench_reasoning	qwen3	p03	trace_damage	5	15.060774475954048	10.5499050864952
livebench_reasoning	qwen3	p03	persistent_fail	13	11.535694241789459	10.389421559280889
